"","Filename","LL","Parameters","RMSEA_Estimate","CFI","TLI","SRMR"
"1","cfa_contr_update.out",-71391.763,160,0.037,0.919,0.905,0.046
"2","sem_mod_dworkconstraints_3011_mod.out",-70781.759,278,0.035,0.919,0.91,0.055
