"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"175","Residual.Variances.LAKE","0.53***","[ 0.43,  0.64]","0.49***","[ 0.40,  0.59]",,
"176","Residual.Variances.BEACH","0.27***","[ 0.19,  0.35]","0.26***","[ 0.20,  0.31]",,
"177","Residual.Variances.TRAFFIC","0.48***","[ 0.44,  0.52]","0.51***","[ 0.48,  0.54]",,
"178","Residual.Variances.INSIDE","0.19***","[ 0.14,  0.24]","0.15***","[ 0.12,  0.19]",,
"179","Residual.Variances.OUTSIDE","0.22***","[ 0.18,  0.26]","0.21***","[ 0.18,  0.24]",,
"180","Residual.Variances.PHYS","4.46***","[ 4.17,  4.74]","4.55***","[ 4.33,  4.76]",,
"181","Residual.Variances.PSS","1.00","","1.00","",,
"182","Residual.Variances.PHQ","1.00","","1.00","",,
"433","Sum.of.indirect.PHQ.NOI","0.22*","[ 0.05,  0.39]","0.08*","[ 0.00,  0.16]",,
"434","Sum.of.indirect.PHQ.PLEA","0.28","[-0.02,  0.58]","0.00","[-0.12,  0.12]",,
"435","Sum.of.indirect.PHQ.SAFE","-0.26*","[-0.49, -0.03]","-0.23***","[-0.33, -0.14]",,
"436","Sum.of.indirect.PHQ.COH","-0.44***","[-0.64, -0.25]","-0.18***","[-0.27, -0.08]",,
"437","Sum.of.indirect.PHQ.GREEN","0.25","[-0.07,  0.57]","0.00","[-0.10,  0.10]",,
"438","Sum.of.indirect.PHQ.BLUE","-0.14","[-0.46,  0.18]","-0.03","[-0.13,  0.07]",,
"445","Specific.indirect.NOI.PSS.PHQ","0.23**","[ 0.06,  0.39]","0.08*","[ 0.00,  0.17]",,
"446","Specific.indirect.NOI.PHYS.PHQ","-0.01","[-0.02,  0.00]","-0.00","[-0.01,  0.00]",,
"447","Specific.indirect.PLEA.PSS.PHQ","0.29","[-0.01,  0.59]","0.00","[-0.12,  0.12]",,
"448","Specific.indirect.PLEA.PHYS.PHQ","-0.00","[-0.02,  0.01]","0.00","[-0.01,  0.01]",,
"449","Specific.indirect.SAFE.PSS.PHQ","-0.27*","[-0.49, -0.04]","-0.24***","[-0.33, -0.14]",,
"450","Specific.indirect.SAFE.PHYS.PHQ","0.01","[-0.01,  0.02]","0.00","[-0.01,  0.01]",,
"451","Specific.indirect.COH.PSS.PHQ","-0.44***","[-0.63, -0.24]","-0.17**","[-0.27, -0.07]",,
"452","Specific.indirect.COH.PHYS.PHQ","-0.01","[-0.02,  0.01]","-0.01","[-0.02,  0.00]",,
"453","Specific.indirect.GREEN.PSS.PHQ","0.24","[-0.07,  0.56]","-0.00","[-0.11,  0.10]",,
"454","Specific.indirect.GREEN.PHYS.PHQ","0.01","[-0.01,  0.02]","0.00","[-0.00,  0.01]",,
"455","Specific.indirect.BLUE.PSS.PHQ","-0.14","[-0.46,  0.18]","-0.03","[-0.13,  0.06]",,
"456","Specific.indirect.BLUE.PHYS.PHQ","0.00","[-0.01,  0.01]","0.00","[-0.01,  0.01]",,
