"","Parameter","est_un","CI_un","est_emp","CI_emp","D_est","D_CI"
"214","PHQ.ON.HOUSO","0.00","[-0.04,  0.04]","0.00","[-0.02,  0.02]","-0.00","[-0.23,  0.22]"
"216","PHQ.ON.HOUSSP","0.01","[-0.03,  0.05]","0.01","[-0.01,  0.03]","-0.02","[-0.37,  0.33]"
"218","PHQ.ON.INC2","-0.04","[-0.08,  0.00]","-0.03","[-0.07,  0.01]","0.05","[-0.24,  0.35]"
"220","PHQ.ON.INC3","-0.04","[-0.08,  0.00]","-0.05*","[-0.09, -0.01]","0.00","[-0.26,  0.27]"
"222","PHQ.ON.INC4","-0.02","[-0.07,  0.02]","-0.06**","[-0.11, -0.02]","-0.11","[-0.39,  0.17]"
"224","PHQ.ON.INC5","-0.02","[-0.06,  0.02]","-0.07**","[-0.11, -0.02]","-0.12","[-0.38,  0.13]"
"226","PHQ.ON.MARN","0.02","[-0.03,  0.07]","0.02","[-0.01,  0.05]","-0.01","[-0.22,  0.20]"
"228","PHQ.ON.MARS","0.04","[-0.00,  0.08]","0.03","[-0.00,  0.05]","-0.12","[-0.42,  0.18]"
"230","PHQ.ON.MARW","0.01","[-0.02,  0.05]","-0.00","[-0.03,  0.02]","-0.29","[-0.93,  0.35]"
"232","PHQ.ON.NOI","0.04","[-0.02,  0.10]","0.06**","[ 0.02,  0.10]","0.02","[-0.12,  0.16]"
"234","PHQ.ON.PHYS","-0.05*","[-0.09, -0.01]","-0.06***","[-0.09, -0.03]","0.00","[-0.04,  0.04]"
"236","PHQ.ON.PLEA","-0.08","[-0.22,  0.05]","0.02","[-0.03,  0.08]","0.21","[-0.08,  0.49]"
"238","PHQ.ON.PSS","0.85***","[ 0.82,  0.88]","0.75***","[ 0.72,  0.77]","-0.43***","[-0.55, -0.32]"
"240","PHQ.ON.SAFE","0.10*","[ 0.01,  0.19]","0.02","[-0.02,  0.07]","-0.16","[-0.36,  0.03]"
"242","PHQ.ON.URB","0.01","[-0.03,  0.06]","0.03*","[ 0.00,  0.06]","0.01","[-0.05,  0.08]"
"244","PHYS.ON.AGE","0.13***","[ 0.07,  0.20]","0.09***","[ 0.05,  0.13]","-0.00","[-0.01,  0.01]"
"246","PHYS.ON.BLUE","0.03","[-0.07,  0.13]","-0.04","[-0.10,  0.02]","-0.14","[-0.40,  0.11]"
"248","PHYS.ON.COH","0.09*","[ 0.02,  0.16]","0.04","[-0.02,  0.10]","-0.12","[-0.32,  0.09]"
"250","PHYS.ON.DEP","0.00","[-0.05,  0.05]","0.03","[-0.01,  0.06]","0.14","[-0.25,  0.52]"
"252","PHYS.ON.EDUH","0.04","[-0.02,  0.10]","-0.04","[-0.09,  0.01]","-0.37*","[-0.73, -0.02]"
"254","PHYS.ON.EDUM","0.05","[-0.01,  0.11]","-0.02","[-0.06,  0.03]","-0.29","[-0.63,  0.06]"
"256","PHYS.ON.FRAG","0.04","[-0.02,  0.09]","0.07**","[ 0.03,  0.11]","0.03","[-0.03,  0.09]"
"258","PHYS.ON.GREEN","-0.14**","[-0.24, -0.04]","-0.04","[-0.10,  0.03]","0.23","[-0.03,  0.49]"
"260","PHYS.ON.HOUS2C","0.02","[-0.03,  0.07]","0.00","[-0.04,  0.04]","-0.12","[-0.41,  0.18]"
"262","PHYS.ON.HOUSO","0.01","[-0.04,  0.06]","-0.03","[-0.06,  0.01]","-0.20","[-0.55,  0.16]"
"264","PHYS.ON.HOUSSP","-0.01","[-0.06,  0.03]","-0.01","[-0.04,  0.02]","0.04","[-0.47,  0.56]"
"266","PHYS.ON.INC2","-0.02","[-0.08,  0.04]","-0.03","[-0.08,  0.02]","-0.06","[-0.54,  0.42]"
"268","PHYS.ON.INC3","-0.05","[-0.11,  0.01]","-0.04","[-0.10,  0.02]","0.07","[-0.39,  0.53]"
"270","PHYS.ON.INC4","0.02","[-0.04,  0.08]","-0.05","[-0.11,  0.01]","-0.34","[-0.79,  0.12]"
"272","PHYS.ON.INC5","0.00","[-0.05,  0.06]","-0.03","[-0.09,  0.03]","-0.16","[-0.59,  0.28]"
"274","PHYS.ON.MARN","-0.03","[-0.10,  0.04]","0.02","[-0.02,  0.06]","0.20","[-0.15,  0.56]"
"276","PHYS.ON.MARS","-0.03","[-0.08,  0.03]","0.02","[-0.02,  0.05]","0.33","[-0.15,  0.81]"
"278","PHYS.ON.MARW","0.01","[-0.03,  0.05]","0.04*","[ 0.00,  0.07]","0.52","[-0.43,  1.47]"
"280","PHYS.ON.NOI","0.02","[-0.05,  0.08]","0.01","[-0.04,  0.06]","-0.02","[-0.20,  0.16]"
"282","PHYS.ON.PLEA","-0.03","[-0.14,  0.08]","0.04","[-0.05,  0.12]","0.14","[-0.17,  0.45]"
"284","PHYS.ON.SAFE","-0.06","[-0.13,  0.02]","-0.07*","[-0.13, -0.01]","-0.03","[-0.24,  0.19]"
"286","PHYS.ON.URB","-0.06","[-0.11,  0.00]","-0.05*","[-0.10, -0.01]","-0.00","[-0.11,  0.11]"
"288","PLEA.BY.PPLEA1","0.57***","[ 0.54,  0.60]","0.60***","[ 0.57,  0.63]",,
"290","PLEA.BY.PPLEA2","0.80***","[ 0.77,  0.83]","0.79***","[ 0.77,  0.82]",,
